ProductID,ProductName,Price,Stock
211,Smartwatch,249.99,80
212,Coffee Maker,89.99,60
213,Tennis Racket,149.99,120
214,Cookbook: Healthy Recipes,19.99,200
215,Bluetooth Speaker,129.99,90
216,Air Fryer,129.99,50
217,Resistance Bands Set,35.0,300
218,Novel: Mystery of the Night,12.99,150
219,4K Action Camera,299.99,40
220,Stand Mixer,249.99,30
221,Football,25.0,250
222,Children's Storybook: Adventures,14.99,120
223,Wireless Earbuds,99.99,200
224,Vacuum Cleaner,199.99,45
225,Yoga Block,15.0,180
226,Novel: Journey to the Unknown,18.99,100
227,Tablet,399.99,60
228,Blender Bottle,12.99,150
229,Dumbbell Set,79.99,80
230,Encyclopedia of Animals,24.99,60
231,Smart Home Hub,149.99,50
232,Non-stick Frying Pan,49.99,120
233,Running Shorts,29.99,220
234,Science Fiction Novel: Starship,16.99,130
235,Portable Charger,39.99,250
236,Cutting Board Set,25.0,90
237,Jump Rope,12.0,200
238,Historical Novel: The Empire,22.99,70
239,Gaming Mouse,59.99,100
240,Electric Toaster,29.99,60
241,Exercise Mat,35.0,150
242,Romance Novel: Love & Destiny,13.99,180
243,Noise Cancelling Earbuds,149.99,80
244,Food Processor,129.99,40
245,Basketball,28.0,200
246,Thriller Novel: Dark Secrets,17.99,110
247,Smart Thermostat,199.99,35
248,Coffee Grinder,34.99,70
249,Pull-up Bar,45.0,90
250,Children's Fantasy Book: Dragon Quest,14.99,140
251,LED Monitor 27-inch,229.99,50
252,Slow Cooker,79.99,60
253,Sports Socks Pack,19.99,200
254,Mystery Novel: Hidden Truth,16.99,90
255,Wireless Keyboard,49.99,120
256,Water Kettle,39.99,80
257,Workout Gloves,15.0,180
258,Biography: Famous Inventors,21.99,70
259,VR Headset,349.99,25
260,Knife Set,59.99,40
261,Yoga Strap,10.99,250
262,Poetry Collection: Modern Voices,12.99,100
263,Digital Camera,499.99,30
264,Casserole Dish,34.99,50
265,Exercise Bike,399.99,20
266,Classic Novel: Timeless Tales,15.99,110
267,Smart Light Bulb,24.99,100
268,Measuring Cups & Spoons,12.99,150
269,Kettlebell,49.99,70
270,Adventure Novel: Lost Island,18.99,90
271,Laptop Stand,39.99,80
272,Microwave Oven,129.99,35
273,Hiking Backpack,79.99,60
274,Children's Book: Magical Forest,13.99,120
275,Tablet Stand,29.99,110
276,Electric Grill,89.99,50
277,Running Cap,14.99,200
278,Mystery Novel: Midnight Shadows,17.99,90
279,External Hard Drive,99.99,70
280,Salad Spinner,19.99,100
281,Resistance Loop Bands,12.0,250
282,Romance Novel: Sunset Promises,14.99,130
283,Bluetooth Headphones,129.99,60
284,Ice Cream Maker,49.99,40
285,Treadmill,699.99,15
286,Historical Novel: Empire Rising,19.99,80
287,Smart Doorbell,149.99,45
288,Electric Mixer,59.99,70
289,Weightlifting Belt,29.99,120
290,Science Book: The Cosmos,21.99,60
291,Gaming Headset,89.99,90
292,Juicer,79.99,50
293,Skipping Rope,10.99,250
294,Novel: Ocean Secrets,16.99,110
295,Smartphone Gimbal,99.99,40
296,Cast Iron Skillet,39.99,60
297,Foam Roller,24.99,180
298,Classic Literature: Great Stories,15.99,120
299,Tablet Keyboard,49.99,80
300,Kitchen Scale,29.99,90
310,Elliptical Trainer,499.99,20
311,Fantasy Novel: Realm of Magic,17.99,100
312,Wireless Mouse,29.99,150
313,Hand Blender,34.99,60
314,Yoga Wheel,22.99,140
315,Mystery Novel: Silent Whispers,18.99,80
316,Smart Plug,24.99,200
317,Toaster Oven,59.99,40
318,Resistance Bands Set Pro,39.99,100
319,Romance Novel: Forever Love,13.99,90
320,Noise Cancelling Headphones Pro,249.99,35
